Month,Unitsales,Price ,Adexp ,Promexp 
1,73959,8.75,50.04,61.13
2,71544,8.99,50.74,60.19
3,78587,7.5,50.14,59.16
4,80364,7.25,50.27,60.38
5,78771,7.4,51.25,59.71
6,71986,8.5,50.65,59.88
7,74885,8.4,50.87,60.14
8,73345,7.9,50.15,60.08
9,76659,7.25,48.24,59.9
10,71880,8.7,50.19,59.68
11,73598,8.4,51.11,59.83
12,74893,8.1,51.49,59.77
13,69003,8.4,50.1,59.29
14,78542,7.4,49.24,60.4
15,72543,8,50.04,59.89
16,74247,8.3,49.46,60.06
17,76253,8.1,51.62,60.51
18,72582,8.2,49.78,58.93
19,69022,8.99,48.6,60.09
20,76200,7.99,49,61
21,69701,8.5,48,59
22,77005,7.9,54,59.5
23,70987,7.99,48.7,58
24,75643,8.25,50,60.5
